name
lockdoc_ring_buffer
vnode
mount
bufobj
bufv
cdev
cdev_priv
pipepair
pipe
fifoinfo
namecache
namecache_ts
namecache_aux
nc_vnodelocks
vpollinfo
neglist
devfs_mount
devfs_dirent
