datatype;member;accesstype;rule;comment;origin
transaction_t;t_tid;r;nolock;;include/linux/jbd2.h:543
transaction_t;t_tid;w;nolock;;include/linux/jbd2.h:543
transaction_t;t_state;r;EMB:[0-9]*\(j_state_lock\);;include/linux/jbd2.h:543
transaction_t;t_state;w;EMB:[0-9]*\(j_state_lock\);;include/linux/jbd2.h:543
transaction_t;t_log_start;r;nolock;;include/linux/jbd2.h:543
transaction_t;t_log_start;w;nolock;;include/linux/jbd2.h:543
transaction_t;t_nr_buffers;r;EMB:[0-9]*\(j_list_lock\);;include/linux/jbd2.h:543
transaction_t;t_nr_buffers;w;EMB:[0-9]*\(j_list_lock\);;include/linux/jbd2.h:543
transaction_t;t_reserved_list;r;EMB:[0-9]*\(j_list_lock\);;include/linux/jbd2.h:543
transaction_t;t_reserved_list;w;EMB:[0-9]*\(j_list_lock\);;include/linux/jbd2.h:543
transaction_t;t_buffers;r;EMB:[0-9]*\(j_list_lock\);;include/linux/jbd2.h:543
transaction_t;t_buffers;w;EMB:[0-9]*\(j_list_lock\);;include/linux/jbd2.h:543
transaction_t;t_forget;r;EMB:[0-9]*\(j_list_lock\);;include/linux/jbd2.h:543
transaction_t;t_forget;w;EMB:[0-9]*\(j_list_lock\);;include/linux/jbd2.h:543
transaction_t;t_checkpoint_list;r;EMB:[0-9]*\(j_list_lock\);;include/linux/jbd2.h:543
transaction_t;t_checkpoint_list;w;EMB:[0-9]*\(j_list_lock\);;include/linux/jbd2.h:543
transaction_t;t_checkpoint_io_list;r;EMB:[0-9]*\(j_list_lock\);;include/linux/jbd2.h:543
transaction_t;t_checkpoint_io_list;w;EMB:[0-9]*\(j_list_lock\);;include/linux/jbd2.h:543
transaction_t;t_shadow_list;r;EMB:[0-9]*\(j_list_lock\);;include/linux/jbd2.h:543
transaction_t;t_shadow_list;w;EMB:[0-9]*\(j_list_lock\);;include/linux/jbd2.h:543
transaction_t;t_inode_list;r;EMB:[0-9]*\(j_list_lock\);;include/linux/jbd2.h:543
transaction_t;t_inode_list;w;EMB:[0-9]*\(j_list_lock\);;include/linux/jbd2.h:543
transaction_t;t_chp_stats;r;EMB:[0-9]*\(j_checkpoint_sem\);;include/linux/jbd2.h:543
transaction_t;t_chp_stats;w;EMB:[0-9]*\(j_checkpoint_sem\);;include/linux/jbd2.h:543
transaction_t;t_updates;r;EMBSAME\(t_handle_lock\);;include/linux/jbd2.h:543
transaction_t;t_updates;w;EMBSAME\(t_handle_lock\);;include/linux/jbd2.h:543
transaction_t;t_outstanding_credits;r;EMBSAME\(t_handle_lock\);;include/linux/jbd2.h:543
transaction_t;t_outstanding_credits;w;EMBSAME\(t_handle_lock\);;include/linux/jbd2.h:543
transaction_t;t_cpnext;r;EMB:[0-9]*\(j_list_lock\);;include/linux/jbd2.h:543
transaction_t;t_cpnext;w;EMB:[0-9]*\(j_list_lock\);;include/linux/jbd2.h:543
transaction_t;t_cpprev;r;EMB:[0-9]*\(j_list_lock\);;include/linux/jbd2.h:543
transaction_t;t_cpprev;w;EMB:[0-9]*\(j_list_lock\);;include/linux/jbd2.h:543
transaction_t;t_expires;r;nolock;;include/linux/jbd2.h:543
transaction_t;t_expires;w;nolock;;include/linux/jbd2.h:543
transaction_t;t_start_time;r;nolock;;include/linux/jbd2.h:543
transaction_t;t_start_time;w;nolock;;include/linux/jbd2.h:543
transaction_t;t_handle_count;r;EMBSAME\(t_handle_lock\);;include/linux/jbd2.h:543
transaction_t;t_handle_count;w;EMBSAME\(t_handle_lock\);;include/linux/jbd2.h:543
